Area_sqft,Bedrooms,Bathrooms,Age_years,Floors,Parking,Distance_City_km,Crime_Rate,Location_Score,Price_Lakhs
800,2,1,15,1,0,8.5,7.2,5,25
900,2,1,12,1,1,7.2,6.5,6,29
1000,2,2,10,1,1,6.5,6.0,6,33
1100,2,2,8,2,1,6.0,5.5,7,37
1200,3,2,10,2,1,5.5,5.2,7,41
1300,3,2,7,2,1,5.0,4.8,7,45
1400,3,2,6,2,1,4.5,4.5,8,49
1500,3,3,5,2,1,4.0,4.2,8,53
1600,3,3,4,2,1,3.8,4.0,8,57
1700,3,3,3,2,2,3.5,3.8,8,61
1800,4,3,5,2,2,3.2,3.5,9,66
1900,4,3,4,2,2,3.0,3.2,9,70
2000,4,3,3,2,2,2.8,3.0,9,75
2100,4,3,4,2,2,2.7,2.9,9,79
2200,4,4,2,3,2,2.5,2.8,9,82
2300,4,4,3,3,2,2.4,2.7,9,86
2400,5,4,3,3,2,2.2,2.5,10,90
2500,5,4,2,3,2,2.1,2.4,10,94
2600,5,4,2,3,2,2.0,2.2,10,98
2700,5,5,3,3,2,1.9,2.1,10,103
2800,5,5,2,3,2,1.8,2.0,10,108
2900,5,5,2,3,2,1.7,1.9,10,113
3000,5,5,1,3,2,1.5,1.8,10,120
3200,6,5,3,3,2,1.4,1.7,10,128
3400,6,5,2,3,3,1.3,1.6,10,138
3600,6,6,2,3,3,1.2,1.5,10,148
3800,6,6,1,3,3,1.1,1.4,10,160
4000,7,6,2,4,3,1.0,1.3,10,175
4200,7,6,1,4,3,0.9,1.2,10,190
4500,7,7,1,4,3,0.8,1.0,10,210
